628938505 1959.94 0 0
628938506 1959.94 0 0
628938507 1959.94 0 915
628938508 1959.94 0 849
628938509 1959.94 0 839
628938510 1959.94 0 845
628938512 1959.94 0 852
628938513 1959.94 0 848
628938514 1959.94 0 843
628938515 1959.94 0 849
628938516 1959.94 0 848
628938517 1959.94 0 850
628938518 1959.94 0 851
628938519 1959.94 0 851
628938520 1959.94 0 850
628938521 1959.94 0 850
628938522 1959.94 0 849
628938524 1959.94 0 853
628938525 1959.94 0 849
628938526 1959.94 0 850
628938527 1959.94 0 848
628938528 1959.94 0 855
628938529 1959.94 0 850
628938530 1959.94 0 850
628938531 1959.94 0 849
628938532 1959.94 0 849
628938533 1959.94 0 850
628938534 1959.94 0 850
628938535 1959.94 0 848
628938537 1959.94 0 849
628938538 1959.94 0 855
628938539 1959.94 0 846
628938540 1959.95 0 854
628938541 1959.95 0 854
628938542 1959.95 0 845
628938543 1959.95 0 848
628938544 1959.95 0 842
628938545 1959.95 0 844
628938546 1959.95 0 855
628938547 1959.95 0 856
628938548 1959.95 0 854
628938550 1959.95 0 850
628938551 1959.95 0 854
628938552 1959.95 0 850
628938553 1959.95 0 851
628938554 1959.95 0 850
628938555 1959.95 0 853
628938556 1959.95 0 858
628938557 1959.95 0 851
628938558 1959.95 0 857
628938559 1959.95 0 856
628938560 1959.95 0 849
628938561 1959.95 0 857
628938563 1959.95 0 853
628938564 1959.95 0 857
628938565 1959.95 0 851
628938566 1959.95 0 853
628938567 1959.95 0 851
628938568 1959.95 0 1057
628938569 1959.95 0 1241
628938570 1959.95 3 1305
628938571 1959.95 5 1436
628938572 1959.96 7 1626
628938573 1959.96 10 1733
628938575 1959.96 10 1897
628938576 1959.96 13 1982
628938577 1959.96 15 1525
628938578 1959.96 16 1314
628938579 1959.96 17 1267
628938580 1959.96 19 1162
628938581 1959.96 18 1054
628938582 1959.96 17 927
628938583 1959.96 12 838
628938584 1959.96 12 852
628938585 1959.96 10 838
628938587 1959.96 2 943
628938588 1959.97 4 1082
628938589 1959.97 5 1359
628938590 1959.97 7 1488
628938591 1959.97 9 1749
628938592 1959.97 11 1857
628938593 1959.97 10 1444
628938594 1959.97 14 1299
628938595 1959.97 16 1362
628938596 1959.98 19 1491
628938597 1959.98 21 1612
628938599 1959.98 22 1764
628938600 1959.98 24 1885
628938601 1959.98 26 2014
628938602 1959.98 28 2139
628938603 1959.99 30 1436
628938604 1959.99 31 1462
628938605 1959.99 33 1439
628938606 1959.99 33 1351
628938607 1959.99 33 1248
628938608 1959.99 31 1151
628938609 1959.99 15 1022
628938610 1959.99 20 856
628938611 1959.99 20 872
628938613 1959.99 18 826
628938614 1959.99 15 1061
628938615 1959.99 5 1603
628938616 1959.99 9 1815
628938617 1960 8 2073
628938618 1960 13 1669
628938619 1960 17 1566
628938620 1960 21 1821
628938621 1960 24 1981
628938622 1960.01 27 1486
628938624 1960.01 29 1327
628938625 1960.01 30 1299
628938626 1960.01 30 1187
628938627 1960.01 30 1032
628938628 1960.01 28 837
628938629 1960.01 26 878
628938630 1960.01 20 845
628938631 1960.01 19 847
628938632 1960.01 0 856
628938633 1960.01 0 855
628938634 1960.01 0 857
628938636 1960.01 0 845
628938637 1960.01 0 848
628938638 1960.01 0 843
628938639 1960.01 0 844
628938640 1960.01 0 846
628938641 1960.01 0 847
628938642 1960.01 0 853
628938643 1960.01 0 841
628938644 1960.01 0 850
628938645 1960.01 0 847
628938647 1960.01 0 854
628938648 1960.01 0 861
628938649 1960.01 0 849
628938650 1960.01 0 854
628938651 1960.01 0 853
628938652 1960.02 0 852
628938653 1960.02 0 854
628938654 1960.02 0 861
628938656 1960.02 0 854
628938657 1960.02 0 861
628938658 1960.02 0 849
628938659 1960.02 0 849
628938660 1960.02 0 856
628938661 1960.02 0 858
628938662 1960.02 0 852
628938663 1960.02 0 836
628938664 1960.02 0 845
628938665 1960.02 0 845
628938666 1960.02 0 856
628938667 1960.02 0 908
628938669 1960.02 0 1491
628938670 1960.02 2 1575
628938671 1960.02 7 1873
628938672 1960.03 11 2106
628938673 1960.03 14 1657
628938674 1960.03 15 1393
